City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
avera,33.19,-82.53,80.6,94,1,2.93,US,1599787500
dikson,73.51,80.55,44.51,99,100,20.47,RU,1599787501
saint-philippe,-21.36,55.77,66.2,77,40,6.93,RE,1599787501
port alfred,-33.59,26.89,63.28,86,96,19.37,ZA,1599787501
east london,-33.02,27.91,64.67,78,81,13.58,ZA,1599787502
hilo,19.73,-155.09,82.4,65,90,10.29,US,1599787502
havre-saint-pierre,50.23,-63.6,44.6,93,90,4.7,CA,1599787502
yellowknife,62.46,-114.35,51.01,66,75,10.29,CA,1599787350
isla mujeres,21.23,-86.73,78.8,88,75,3.36,MX,1599787270
aksu,41.12,80.26,67.41,39,0,3.58,CN,1599787503
makakilo city,21.35,-158.09,89.6,43,1,11.41,US,1599787503
livonia,42.37,-83.35,62.01,77,90,9.17,US,1599787323
butaritari,3.07,172.79,82.62,76,100,17.72,KI,1599787504
bahia de caraquez,-0.6,-80.42,75.2,78,40,12.75,EC,1599787402
jamestown,42.1,-79.24,66.0,93,90,3.36,US,1599787374
ushuaia,-54.8,-68.3,37.98,86,100,6.15,AR,1599787297
ayorou,14.73,0.92,84.56,66,12,14.94,NE,1599787505
atuona,-9.8,-139.03,78.64,79,25,18.52,PF,1599787505
torbat-e jam,35.24,60.62,62.1,29,0,12.35,IR,1599787506
mayo,38.89,-76.51,77.0,100,90,4.7,US,1599787435
ribeira grande,38.52,-28.7,71.85,83,0,4.16,PT,1599787506
wynyard,-41.0,145.72,54.0,73,100,5.99,AU,1599787507
bethel,41.37,-73.41,73.4,100,90,3.18,US,1599787508
new norfolk,-42.78,147.06,61.0,61,100,1.01,AU,1599787508
kavieng,-2.57,150.8,85.68,64,8,7.78,PG,1599787508
kapaa,22.08,-159.32,87.8,58,20,14.99,US,1599787470
kanniyakumari,8.08,77.57,78.75,84,100,17.13,IN,1599787509
tarpon springs,28.15,-82.76,78.01,88,40,3.36,US,1599787509
olafsvik,64.89,-23.71,48.02,86,100,18.39,IS,1599787509
bluff,-46.6,168.33,51.01,59,0,1.99,NZ,1599787510
kodiak,57.79,-152.41,64.4,34,1,10.29,US,1599787510
alofi,-19.06,-169.92,82.4,83,40,9.17,NU,1599787510
albany,42.6,-73.97,73.0,77,14,11.01,US,1599787511
ugra,54.78,34.33,45.5,88,0,8.52,RU,1599787511
tukrah,32.53,20.58,76.28,70,0,11.1,LY,1599787511
vaini,-21.2,-175.2,78.8,74,40,11.41,TO,1599787511
punta arenas,-53.15,-70.92,41.0,75,100,24.16,CL,1599787437
rikitea,-23.12,-134.97,73.47,84,99,14.67,PF,1599787512
florianopolis,-27.61,-48.5,69.01,82,6,10.29,BR,1599787512
hithadhoo,-0.6,73.08,81.59,78,71,12.55,MV,1599787513
saint george,37.1,-113.58,80.01,14,1,2.15,US,1599787304
mataura,-46.19,168.86,51.01,59,14,1.99,NZ,1599787513
norman wells,65.28,-126.83,48.2,93,75,12.75,CA,1599787514
tasiilaq,65.61,-37.64,32.0,96,100,3.36,GL,1599787514
ankazoabo,-22.28,44.52,67.21,74,82,4.97,MG,1599787514
payo,-3.75,103.64,81.25,70,100,1.34,ID,1599787514
labuhan,-6.88,112.21,81.73,65,2,9.08,ID,1599787515
busselton,-33.65,115.33,46.99,92,48,4.14,AU,1599787515
katsuura,35.13,140.3,87.8,70,75,10.29,JP,1599787515
bathsheba,13.22,-59.52,77.0,83,5,5.82,BB,1599787516
aklavik,68.22,-135.01,39.2,86,90,6.93,CA,1599787516
rock hill,34.92,-81.03,75.99,94,1,2.53,US,1599787270
panthersville,33.71,-84.27,80.6,74,75,5.82,US,1599787516
hasaki,35.73,140.83,89.6,74,75,6.93,JP,1599787517
tiksi,71.69,128.87,48.45,63,100,6.82,RU,1599787517
mahebourg,-20.41,57.7,71.6,78,75,11.41,MU,1599787518
tual,-5.67,132.75,79.39,78,0,20.65,ID,1599787518
yarmouth,41.71,-70.23,75.0,100,90,9.17,US,1599787519
khatanga,71.97,102.5,48.31,77,100,11.59,RU,1599787519
shiyan,32.65,110.78,75.38,69,0,2.75,CN,1599787519
hobart,-42.88,147.33,62.6,51,75,13.87,AU,1599787455
santa cruz de tenerife,28.47,-16.25,72.0,93,75,17.22,ES,1599787520
sumter,28.71,-82.08,78.01,96,100,4.76,US,1599787520
cape town,-33.93,18.42,61.0,87,100,4.7,ZA,1599787253
daule,-1.86,-79.98,75.2,73,40,17.22,EC,1599787520
kaeo,-35.1,173.78,63.0,34,0,7.0,NZ,1599787521
yakeshi,49.28,120.73,57.38,73,40,5.14,CN,1599787521
saldanha,-33.01,17.94,53.6,81,2,4.7,ZA,1599787521
hobyo,5.35,48.53,77.02,81,100,22.68,SO,1599787522
grindavik,63.84,-22.43,48.2,100,75,5.82,IS,1599787230
adwa,14.16,38.9,58.59,76,0,0.4,ET,1599787522
mutum,-19.8,-41.44,69.67,56,0,3.53,BR,1599787522
pochutla,15.74,-96.47,80.6,78,20,4.07,MX,1599787523
san patricio,19.22,-104.7,82.4,78,75,6.93,MX,1599787523
georgetown,5.41,100.34,78.8,94,20,5.82,MY,1599787523
chanute,37.68,-95.46,59.0,87,90,9.17,US,1599787524
nemuro,43.32,145.57,68.0,72,75,10.29,JP,1599787524
melfort,52.87,-104.62,60.8,59,1,8.05,CA,1599787524
leningradskiy,69.38,178.42,46.22,75,100,1.7,RU,1599787524
gbarnga,7.0,-9.47,70.48,98,100,2.8,LR,1599787525
walvis bay,-22.96,14.51,69.8,32,0,3.36,NA,1599787525
barrow,71.29,-156.79,39.2,80,90,20.8,US,1599787259
maceio,-9.67,-35.74,71.6,88,40,3.36,BR,1599787432
lebu,-37.62,-73.65,47.77,76,5,12.57,CL,1599787526
hermanus,-34.42,19.23,60.01,87,100,5.01,ZA,1599787526
tuktoyaktuk,69.45,-133.04,39.2,80,90,13.87,CA,1599787526
severo-kurilsk,50.68,156.12,52.03,78,100,3.65,RU,1599787526
airai,-8.93,125.41,71.73,44,17,5.77,TL,1599787527
rio gallegos,-51.62,-69.22,42.8,81,75,19.46,AR,1599787527
nikolskoye,59.7,30.79,53.6,71,75,17.9,RU,1599787527
roma,43.21,-75.46,66.99,77,90,6.93,US,1599787528
tete,-16.16,33.59,73.4,60,0,5.82,MZ,1599787528
zhigansk,66.77,123.37,52.66,63,85,5.46,RU,1599787528
kiunga,-6.12,141.29,82.02,68,70,4.59,PG,1599787528
agua dulce,18.13,-94.13,86.0,70,40,11.41,MX,1599787529
san cristobal,7.77,-72.22,86.0,58,40,2.24,VE,1599787233
ilulissat,69.22,-51.1,32.0,87,0,5.66,GL,1599787529
avarua,-21.21,-159.78,78.8,78,92,18.34,CK,1599787529
faanui,-16.48,-151.75,78.58,73,3,11.83,PF,1599787530
port elizabeth,-33.92,25.57,60.8,93,90,16.11,ZA,1599787530
siderno,38.28,16.3,80.01,88,5,9.17,IT,1599787530
zimovniki,47.15,42.46,61.99,45,0,5.82,RU,1599787530
bredasdorp,-34.53,20.04,59.0,87,100,13.87,ZA,1599787531
iqaluit,63.75,-68.51,39.2,69,75,10.29,CA,1599787531
caravelas,-17.71,-39.25,70.39,84,1,5.19,BR,1599787531
joshimath,30.57,79.57,61.16,47,2,2.37,IN,1599787532
cartaya,37.28,-7.15,75.99,39,0,5.01,ES,1599787532
arraial do cabo,-22.97,-42.03,72.45,81,0,25.21,BR,1599787532
qaanaaq,77.48,-69.36,25.09,89,100,9.42,GL,1599787532
mount isa,-20.73,139.5,86.0,17,0,9.17,AU,1599787533
ornskoldsvik,63.29,18.72,42.8,81,95,12.75,SE,1599787533
nampa,43.54,-116.56,82.4,13,1,6.93,US,1599787260
halifax,44.65,-63.57,70.0,100,90,2.24,CA,1599787432
souillac,-20.52,57.52,71.6,78,75,11.41,MU,1599787534
brownsville,25.9,-97.5,73.4,88,90,12.75,US,1599787459
acari,-15.43,-74.62,62.44,61,38,3.89,PE,1599787386
catuday,16.29,119.81,83.52,74,1,4.0,PH,1599787534
sawakin,19.11,37.33,92.12,41,0,4.81,SD,1599787535
esperance,-33.87,121.9,60.8,67,0,10.29,AU,1599787535
torbay,47.67,-52.73,61.0,87,90,10.29,CA,1599787535
jardim,-21.48,-56.14,81.43,30,49,2.55,BR,1599787535
haines junction,60.75,-137.51,53.22,58,88,1.57,CA,1599787536
campohermoso,36.94,-2.13,72.0,78,0,2.24,ES,1599787536
longyearbyen,78.22,15.64,44.6,75,75,14.99,SJ,1599787498
oktyabrskoye,43.06,44.74,50.0,93,0,4.47,RU,1599787536
rawson,-43.3,-65.1,53.49,41,0,38.68,AR,1599787537
coihaique,-45.58,-72.07,35.6,85,75,1.12,CL,1599787537
wuwei,37.93,102.64,67.6,47,65,1.77,CN,1599787537
sola,-13.88,167.55,84.2,66,75,9.17,VU,1599787538
ubatuba,-23.43,-45.07,73.4,60,51,2.24,BR,1599787298
mount gambier,-37.83,140.77,62.6,67,90,10.29,AU,1599787538
hualmay,-11.1,-77.61,59.95,84,13,7.2,PE,1599787538
jalingo,8.88,11.37,70.99,91,90,3.62,NG,1599787317
vao,-22.67,167.48,67.42,70,33,15.95,NC,1599787539
victoria,22.29,114.16,87.01,74,96,7.14,HK,1599787506
churachandpur,24.33,93.67,68.0,94,75,2.24,IN,1599787539
killybegs,54.63,-8.45,56.14,82,100,21.52,IE,1599787540
fairbanks,64.84,-147.72,48.2,57,90,12.75,US,1599787354
port blair,11.67,92.75,82.26,79,100,10.67,IN,1599787540
dire dawa,9.59,41.87,70.99,49,33,14.63,ET,1599787540
eyl,7.98,49.82,77.23,76,31,17.38,SO,1599787541
rio grande,-32.03,-52.1,55.99,94,0,7.72,BR,1599787342
mayumba,-3.43,10.66,74.21,84,100,4.94,GA,1599787541
rudsar,37.14,50.29,73.4,83,20,2.24,IR,1599787541
mar del plata,-38.0,-57.56,51.8,71,90,6.93,AR,1599787250
peniche,39.36,-9.38,63.0,84,45,3.56,PT,1599787542
auki,-8.77,160.7,82.83,76,100,1.79,SB,1599787542
upernavik,72.79,-56.15,34.5,94,100,14.76,GL,1599787542
angoche,-16.23,39.91,71.2,89,0,10.13,MZ,1599787543
mundi,22.07,76.5,77.11,90,98,3.56,IN,1599787543
faya,18.39,42.45,68.0,59,0,3.36,SA,1599787543
puerto ayora,-0.74,-90.35,66.99,92,51,8.99,EC,1599787544
berlevag,70.86,29.09,47.34,80,2,7.72,NO,1599787544
honolulu,21.31,-157.86,89.6,43,20,18.34,US,1599787474
grand gaube,-20.01,57.66,72.0,77,26,10.0,MU,1599787545
hamilton,39.18,-84.53,78.01,69,90,12.75,US,1599787530
dingle,11.0,122.67,84.54,72,1,0.54,PH,1599787545
fortuna,40.6,-124.16,64.99,77,1,3.36,US,1599787545
lysva,58.11,57.81,47.17,95,100,7.94,RU,1599787546
guerrero negro,27.98,-114.06,80.94,50,0,15.64,MX,1599787546
pacifica,37.61,-122.49,64.4,72,90,6.93,US,1599787546
chuy,-33.7,-53.46,51.01,66,0,5.5,UY,1599787546
itarema,-2.92,-39.92,78.04,80,6,17.58,BR,1599787547
ponta do sol,32.67,-17.1,73.4,64,40,11.41,PT,1599787547
safaga,26.73,33.94,84.2,83,0,2.37,EG,1599787547
henties bay,-22.12,14.28,64.69,51,0,8.46,NA,1599787548
los andes,-32.83,-70.6,57.99,67,0,6.93,CL,1599787492
arica,-18.48,-70.3,57.99,79,7,0.27,CL,1599787302
ostersund,63.18,14.64,42.8,75,100,11.41,SE,1599787548
kuching,1.55,110.33,77.0,94,40,2.24,MY,1599787433
sovetskiy,61.36,63.58,47.93,98,41,6.89,RU,1599787549
buin,-33.73,-70.75,57.99,67,0,6.93,CL,1599787549
poum,-20.23,164.02,71.96,70,0,5.68,NC,1599787550
forrest city,35.01,-90.79,81.0,83,1,3.36,US,1599787550
moose factory,51.26,-80.61,51.8,76,40,6.93,CA,1599787550
castro,-24.79,-50.01,66.85,59,7,2.53,BR,1599787493
gamba,-2.65,10.0,73.89,86,97,6.35,GA,1599787551
clyde river,70.47,-68.59,37.4,69,90,5.82,CA,1599787551
cairns,-16.92,145.77,82.4,39,0,14.99,AU,1599787476
emba,48.83,58.14,55.74,56,8,5.77,KZ,1599787551
banka,24.88,86.92,82.98,81,100,8.16,IN,1599787552
camana,-16.62,-72.71,59.07,75,47,6.76,PE,1599787552
barcelos,41.54,-8.62,70.0,93,0,3.36,PT,1599787552
kahului,20.89,-156.47,89.6,49,40,24.16,US,1599787522
ayagoz,47.97,80.44,41.74,76,0,10.87,KZ,1599787553
thompson,55.74,-97.86,42.8,81,40,3.36,CA,1599787553
codrington,-38.27,141.97,64.99,52,100,3.0,AU,1599787553
lavrentiya,65.58,-171.0,48.42,67,98,9.24,RU,1599787554
carnarvon,-24.87,113.63,69.8,60,0,17.22,AU,1599787554
salalah,17.02,54.09,78.8,83,75,3.36,OM,1599787554
iseyin,7.97,3.6,71.13,97,100,5.64,NG,1599787555
mangrol,21.12,70.12,80.33,83,28,8.32,IN,1599787555
saskylakh,71.92,114.08,49.82,72,100,3.74,RU,1599787555
kulhudhuffushi,6.62,73.07,81.57,79,100,17.07,MV,1599787382
ovsyanka,55.96,92.55,33.8,100,100,2.48,RU,1599787556
san policarpo,12.18,125.51,85.06,68,18,2.66,PH,1599787556
kieta,-6.22,155.63,86.34,59,96,3.11,PG,1599787556
pacific grove,36.62,-121.92,64.0,93,26,3.33,US,1599787488
hervey bay,-25.3,152.85,66.0,87,100,15.01,AU,1599787557
brive-la-gaillarde,45.25,1.5,64.0,90,0,2.3,FR,1599787557
constitucion,-35.33,-72.42,50.67,83,0,13.47,CL,1599787557
buraydah,26.33,43.98,80.6,30,40,3.36,SA,1599787557
mountain home,43.13,-115.69,82.4,8,1,5.82,US,1599787274
saint-georges,12.06,-61.75,80.6,78,20,5.82,GD,1599787558
hambantota,6.12,81.12,77.0,100,20,6.93,LK,1599787558
te anau,-45.42,167.72,47.86,61,1,0.38,NZ,1599787559
balkanabat,39.51,54.37,69.4,52,0,1.77,TM,1599787559
yulara,-25.24,130.99,87.8,15,0,5.82,AU,1599787559
provideniya,64.38,-173.3,50.0,81,90,6.71,RU,1599787560
tral,33.93,75.1,58.01,57,0,1.59,IN,1599787560
egvekinot,66.32,-179.17,44.98,73,95,5.32,RU,1599787560
praia da vitoria,38.73,-27.07,70.0,94,20,5.28,PT,1599787448
cabo san lucas,22.89,-109.91,84.99,74,20,6.93,MX,1599787291
bosaso,11.28,49.18,89.46,53,90,3.96,SO,1599787561
yeppoon,-23.13,150.73,73.4,49,75,6.93,AU,1599787561
bani,18.28,-70.33,82.99,82,5,4.0,DO,1599787562
beloha,-25.17,45.05,71.85,66,97,4.76,MG,1599787562
kaitangata,-46.28,169.85,48.29,52,82,1.7,NZ,1599787562
elizabethton,36.35,-82.21,73.99,88,90,1.99,US,1599787562
bengkulu,-3.8,102.27,77.38,81,90,3.44,ID,1599787563
esmeraldas,-19.76,-44.31,73.4,46,73,3.36,BR,1599787563
vostok,46.49,135.88,50.97,99,100,2.71,RU,1599787266
chokurdakh,70.63,147.92,53.37,50,76,6.6,RU,1599787564
whitianga,-36.83,175.7,54.34,61,76,11.92,NZ,1599787564
vertientes,21.26,-78.15,75.2,94,100,2.24,CU,1599787564
aksay,47.26,39.87,53.6,58,0,2.24,RU,1599787564
richards bay,-28.78,32.04,66.42,79,97,6.73,ZA,1599787565
surt,31.21,16.59,75.52,84,0,3.51,LY,1599787565
narsaq,60.92,-46.05,41.0,27,0,10.29,GL,1599787565
port shepstone,-30.74,30.45,63.93,76,7,7.9,ZA,1599787565
dudinka,69.41,86.18,51.8,87,40,15.66,RU,1599787566
diffa,13.32,12.61,83.41,61,85,11.86,NE,1599787566
sao filipe,14.9,-24.5,80.08,83,88,12.62,CV,1599787566
yako,12.97,-2.27,76.28,81,100,10.27,BF,1599787567
damghan,36.17,54.35,61.47,45,0,1.99,IR,1599787567
syracuse,37.09,15.28,75.2,73,20,2.24,IT,1599787567
meulaboh,4.14,96.13,77.16,73,99,3.51,ID,1599787492
gladstone,-23.85,151.25,71.6,53,90,11.41,AU,1599787568
sept-iles,50.2,-66.38,45.0,100,75,5.82,CA,1599787337
iskateley,67.68,53.15,43.52,94,100,9.31,RU,1599787568
oriximina,-1.77,-55.87,78.91,70,1,3.49,BR,1599787568
kandrian,-6.22,149.55,82.27,74,33,11.86,PG,1599787569
ayan,56.45,138.17,55.18,64,0,5.41,RU,1599787569
alice springs,-23.7,133.88,87.8,18,0,12.75,AU,1599787569
korla,41.76,86.15,67.64,25,10,10.38,CN,1599787570
sinnar,13.57,33.57,75.9,79,100,14.16,SD,1599787570
san luis,-33.3,-66.34,66.36,52,0,8.7,AR,1599787570
xuanzhou,30.95,118.76,71.73,92,80,5.08,CN,1599787554
severodvinsk,64.56,39.83,50.0,93,90,8.95,RU,1599787421
general roca,-39.03,-67.58,53.6,40,0,8.05,AR,1599787571
borger,52.92,6.79,55.99,82,50,1.01,NL,1599787571
biloela,-24.42,150.5,66.83,63,93,17.92,AU,1599787572
yeniseysk,58.45,92.17,44.78,87,18,2.35,RU,1599787572
anadyr,64.75,177.48,50.0,93,90,11.18,RU,1599787572
moussoro,13.64,16.49,84.24,58,100,10.04,TD,1599787573
lompoc,34.64,-120.46,63.0,82,1,3.36,US,1599787573
cartagena,10.4,-75.51,82.35,80,2,7.47,CO,1599787377
roebourne,-20.78,117.13,88.66,25,0,11.68,AU,1599787573
gwanda,-20.93,29.0,55.04,70,0,6.49,ZW,1599787574
sao miguel do araguaia,-13.28,-50.16,79.65,23,0,4.34,BR,1599787574
geraldton,-28.77,114.6,59.0,67,90,10.29,AU,1599787474
bambous virieux,-20.34,57.76,72.0,78,75,11.41,MU,1599787575
cidreira,-30.18,-50.21,57.47,89,0,5.82,BR,1599787575
san isidro,-12.12,-77.05,59.0,82,90,8.05,PE,1599787575
saint-augustin,51.23,-58.65,48.72,90,100,2.19,CA,1599787575
marienburg,54.04,19.03,46.99,93,20,3.36,PL,1599787576
sorong,-0.88,131.25,81.84,79,0,5.55,ID,1599787576
armasesti,44.75,26.58,69.01,93,0,6.93,RO,1599787576
souris,49.62,-100.26,66.2,52,20,6.93,CA,1599787295
pisco,-13.7,-76.22,62.01,82,0,14.99,PE,1599787577
pevek,69.7,170.31,42.33,93,100,4.76,RU,1599787577
xingyi,24.19,102.82,65.41,92,95,0.98,CN,1599787577
hirara,24.8,125.28,87.8,74,75,10.29,JP,1599787578
fuyang,32.9,115.82,72.5,85,15,6.71,CN,1599787349
bako,5.78,36.57,63.73,65,94,5.73,ET,1599787578
vila franca do campo,37.72,-25.43,68.0,88,20,6.93,PT,1599787578
talara,-4.58,-81.27,62.58,88,34,17.74,PE,1599787579
santa cruz,-17.8,-63.17,78.8,65,0,5.82,BO,1599787398
cockburn town,21.46,-71.14,83.82,77,92,16.69,TC,1599787396
pangody,65.85,74.49,54.36,90,60,13.8,RU,1599787579
rypefjord,70.63,23.67,46.4,93,75,11.41,NO,1599787580
surin,14.88,103.49,82.4,78,100,3.36,TH,1599787580
